Hostsp;IndividualID;SampleID;E;Per;PerRed;DmaW;lpsA;lolC;idtG
Fyves;UZ_20.22(2);Fyves_1;E+;+;-;-;-;-;+
Fyves;UZ_7.23(1);Fyves_2;E+;+;-;-;-;-;-
Fyves;UZ_7.23(4);Fyves_3;E+;+;-;-;+;-;+
Fyves;UZ_7.23(8);Fyves_4;E+;+;+;-;-;-;+
Fyves;UZ_7.23(11);Fyves_5;E+;-;-;-;+;-;+
Fyves;UZ_20.22(3);Fyves_C;E-;-;-;-;-;-;-
Froth;UZ_10.23(4);Froth_1;E+;+;-;+;+;-;+
Froth;UZ_11.23(9);Froth_2;E+;+;+;+;+;-;+
Froth;UZ_12.23(2);Froth_3;E+;+;+;+;+;-;+
Froth;UZ_12.23(5);Froth_4;E+;+;-;+;+;-;+
Froth;UZ_35.22(1);Froth_5;E+;+;+;+;+;-;+
Froth;UZ_10.23(1);Froth_C;E-;-;-;-;-;-;-
Fnigr;UZ_42.22(4);Fnigr_1;E+;-;-;-;-;-;+
Fnigr;UZ_42.22(5);Fnigr_2;E+;-;-;-;-;-;+
Fnigr;UZ_44.22(1);Fnigr_3;E+;+;-;-;-;-;+
Fnigr;UZ_44.22(2);Fnigr_4;E+;+;+;-;-;-;+
Fnigr;UZ_44.22(4);Fnigr_5;E+;+;-;+;+;-;+
Fnigr;UZ_42.22(2);Fnigr_C;E-;-;-;-;-;-;-
Fprui;UZ_55.22(2);Fprui_1;E+;+;-;+;+;-;-
Fprui;UZ_55.22(3);Fprui_2;E+;+;-;+;+;-;-
Fprui;UZ_55.22(4);Fprui_3;E+;+;-;+;+;-;-
Fprui;UZ_56.22(3);Fprui_4;E+;+;-;+;+;-;-
Fprui;UZ_56.22(4);Fprui_5;E+;-;-;-;-;-;-
Fprui;UZ_55.22(1);Fprui_C;E-;-;-;-;-;-;-
Farun;UZ_2.23(5);Farun_1;E+;+;+;+;+;+;+
Farun;UZ_2.23(4);Farun_2;E+;+;+;+;+;+;+
Farun;UZ_2.23(3);Farun_3;E+;+;+;+;+;+;+
Farun;UZ_2.23(6);Farun_4;E+;+;+;+;+;+;-
Farun;UZ_2.23(9);Farun_5;E+;+;+;+;+;+;+
Farun;UZ_64.22(2);Farun_C;E-;-;-;-;-;-;-
