Hostsp;IndividualID;SampleID;E;PPZ-2a;Peramine;Chanoclavine;Ergine;Ergovaline;N-acetylnorloline;N-acetylloline;N-formylloline;N-methylloline;Loline;Emindole_SB;Paspaline;13-Desoxypaxilline_RT28.3;Paxilline ;Paxilline_IsomerRT30.7;Paxitriol_Isomer;Terpendole_C;Terpendole_E;Terpendole_I;Terpendole_I_Isomer_RT30.7  ;Terpendole_I_Isomer_RT31.2  ;Terpendole_J
Fyves;UZ_20.22(2);Fyves_1;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;UZ_7.23(1);Fyves_2;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;UZ_7.23(4);Fyves_3;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;TRACES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;UZ_7.23(8);Fyves_4;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;UZ_7.23(11);Fyves_5;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fyves;UZ_20.22(3);Fyves_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;UZ_10.23(4);Froth_1;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO
Froth;UZ_11.23(9);Froth_2;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;UZ_12.23(2);Froth_3;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;YES;YES;YES;YES;YES;YES;NO
Froth;UZ_12.23(5);Froth_4;E+;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;UZ_35.22(1);Froth_5;E+;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Froth;UZ_10.23(1);Froth_C;E-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;UZ_42.22(4);Fnigr_1;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;UZ_42.22(5);Fnigr_2;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
Fnigr;UZ_44.22(1);Fnigr_3;E+;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
