Hostsp;SampleID;E;Peramine_[mg/kg];Ergovaline_[mg/kg];Total_1-aminopyrrolizidines_[mg/g]
Fyves;Fyves_1;E+;0;0;0
Fyves;Fyves_2;E+;13,8;0;0
Fyves;Fyves_3;E+;0;0;0
Fyves;Fyves_4;E+;1,23;0;0
Fyves;Fyves_5;E+;0;0;0
Fyves;Fyves_C;E-;0;0;0
Froth;Froth_1;E+;0;0;0
Froth;Froth_2;E+;15,8;0;0
Froth;Froth_3;E+;20,4;0;0
Froth;Froth_4;E+;0;0;0
Froth;Froth_5;E+;22,7;0;0
Froth;Froth_C;E-;0;0;0
Fnigr;Fnigr_1;E+;0;0;0
Fnigr;Fnigr_2;E+;0;0;0
Fnigr;Fnigr_3;E+;0;0;0
Fnigr;Fnigr_4;E+;0;0;0
Fnigr;Fnigr_5;E+;0;0;0
Fnigr;Fnigr_C;E-;0;0;0
Fprui;Fprui_1;E+;0;0,07;0
Fprui;Fprui_2;E+;0;0,12;0
Fprui;Fprui_3;E+;0;0,08;0
Fprui;Fprui_4;E+;0;0;0
Fprui;Fprui_5;E+;0;0;0
Fprui;Fprui_C;E-;0;0;0
Farun;Farun_1;E+;0;0,15;3,52
Farun;Farun_2;E+;0;0,55;0,68
Farun;Farun_3;E+;0;0,1;0,66
Farun;Farun_4;E+;0;0,62;1,33
Farun;Farun_5;E+;0;0,22;1,46
Farun;Farun_C;E-;0;0;0
