Hostsp;SampleID;E;Per;PerRed;DmaW;lpsA;lolC;idtG
Fyves;Fyves_1;E+;+;-;-;-;-;+
Fyves;Fyves_2;E+;+;-;-;-;-;-
Fyves;Fyves_3;E+;+;-;-;+;-;+
Fyves;Fyves_4;E+;+;+;-;-;-;+
Fyves;Fyves_5;E+;-;-;-;+;-;+
Fyves;Fyves_C;E-;-;-;-;-;-;-
Froth;Froth_1;E+;+;-;+;+;-;+
Froth;Froth_2;E+;+;+;+;+;-;+
Froth;Froth_3;E+;+;+;+;+;-;+
Froth;Froth_4;E+;+;-;+;+;-;+
Froth;Froth_5;E+;+;+;+;+;-;+
Froth;Froth_C;E-;-;-;-;-;-;-
Fnigr;Fnigr_1;E+;-;-;-;-;-;+
Fnigr;Fnigr_2;E+;-;-;-;-;-;+
Fnigr;Fnigr_3;E+;+;-;-;-;-;+
Fnigr;Fnigr_4;E+;+;+;-;-;-;+
Fnigr;Fnigr_5;E+;+;-;+;+;-;+
Fnigr;Fnigr_C;E-;-;-;-;-;-;-
Fprui;Fprui_1;E+;+;-;+;+;-;-
Fprui;Fprui_2;E+;+;-;+;+;-;-
Fprui;Fprui_3;E+;+;-;+;+;-;-
Fprui;Fprui_4;E+;+;-;+;+;-;-
Fprui;Fprui_5;E+;-;-;-;-;-;-
Fprui;Fprui_C;E-;-;-;-;-;-;-
Farun;Farun_1;E+;+;+;+;+;+;+
Farun;Farun_2;E+;+;+;+;+;+;+
Farun;Farun_3;E+;+;+;+;+;+;+
Farun;Farun_4;E+;+;+;+;+;+;-
Farun;Farun_5;E+;+;+;+;+;+;+
Farun;Farun_C;E-;-;-;-;-;-;-
