Hostsp;SampleID;E;Peramine_[mg/kg];Ergovaline_[mg/kg];Total_1-aminopyrrolizidines_[mg/g]
Fyves;Fyves_1;E+;NA;NA;NA
Fyves;Fyves_2;E+;13,8;NA;NA
Fyves;Fyves_3;E+;NA;NA;NA
Fyves;Fyves_4;E+;1,23;NA;NA
Fyves;Fyves_5;E+;NA;NA;NA
Fyves;Fyves_C;E-;NA;NA;NA
Froth;Froth_1;E+;NA;NA;NA
Froth;Froth_2;E+;15,8;NA;NA
Froth;Froth_3;E+;20,4;NA;NA
Froth;Froth_4;E+;NA;NA;NA
Froth;Froth_5;E+;22,7;NA;NA
Froth;Froth_C;E-;NA;NA;NA
Fnigr;Fnigr_1;E+;NA;NA;NA
Fnigr;Fnigr_2;E+;NA;NA;NA
Fnigr;Fnigr_3;E+;NA;NA;NA
Fnigr;Fnigr_4;E+;NA;NA;NA
Fnigr;Fnigr_5;E+;NA;0;NA
Fnigr;Fnigr_C;E-;NA;NA;NA
Fprui;Fprui_1;E+;0;0,07;NA
Fprui;Fprui_2;E+;NA;0,12;NA
Fprui;Fprui_3;E+;NA;0,08;NA
Fprui;Fprui_4;E+;NA;0;NA
Fprui;Fprui_5;E+;NA;0;NA
Fprui;Fprui_C;E-;NA;NA;NA
Farun;Farun_1;E+;NA;0,15;3,52
Farun;Farun_2;E+;NA;0,55;0,68
Farun;Farun_3;E+;NA;0,1;0,66
Farun;Farun_4;E+;NA;0,62;1,33
Farun;Farun_5;E+;NA;0,22;1,46
Farun;Farun_C;E-;NA;NA;NA
